"","PFAC","ANETD","uslek","uslels","uslep","slp","hl","CN_c","uslec_c","MNGN","bd1","fc","WP","OC","dep","app_rate","app_eff","DWRATE","DSRATE","kd","aer_aq","temp_ref_aer","anae_aq","temp_ref_anae","photo","RFLAT","hydro","SOL","benthic_depth","porosity","bulk_density","FROC2","DOC2","BNMAS","SUSED","CHL","FROC1","DOC1","PLMAS","bf","przm_max_h2","pwc_max_peak","pwc_max_h2","pwc_max_benthic","Conv.Factor","max_sed"
"11",0.745,18.043,0.178,1.594,0.901,28.138,2319.944,87.512,0.279,0.383,1.576,0.142,0.224,0.627,3.45,1.221,0.656,0.114,0.114,5654.629,26.733,22.558,567.885,21.396,190.764,40,245.136,0.13,0.501,0.427,1.1,0.017,6.043,0.618,41.224,1.45,0.087,4.341,1.532,0.001,5.0083,0.0073049,0.004558,0.00017226,5660,0.9749916
"12",0.739,18.565,0.111,1.349,0.273,2.738,4623.79,56.109,0.325,0.304,1.601,0.057,0.223,1.625,2.77,1.176,0.788,0.176,0.176,4933.329,268.943,21.787,150.165,22.945,277.591,40,137.291,0.329,0.826,0.363,1.71,0.011,4.326,1.731,7.467,0.297,0.097,6.032,0.582,0.001,0.9165,0.0026506,0.00082935,3.8293e-06,4930,0.018878449
"13",0.77,19.415,0.106,3.748,0.552,37.123,3922.109,92.887,0.96,0.278,1.644,0.125,0.235,1.507,0.311,1.816,0.901,0.159,0.159,3201.309,169.386,23.658,528.043,21.2,209.892,40,253.515,0.364,0.505,0.531,1.154,0.028,28.349,4.281,70.495,1.4,0.006,2.133,1.584,0.001,6.0578,0.35192,0.1801,0.0079099,3200,25.31168
"14",0.748,15.296,0.466,1.326,0.718,8.188,2129.133,97.699,0.196,0.293,1.484,0.024,0.247,0.512,5.012,0.883,0.25,0.124,0.124,2790.382,37.073,22.455,263.936,22.707,210.254,40,42.685,0.654,0.414,0.71,1.421,0.019,7.313,1.434,57.088,1.241,0.052,5.521,7.921,0,7.1287,0.0029299,0.0019143,0.00016402,2790,0.4576158
"15",0.733,19.448,0.439,2.14,0.304,39.414,2520.334,97.052,0.174,0.254,1.304,0.104,0.22,1.335,4.526,1.155,0.887,0.031,0.031,1684.28,127.867,22.232,411.234,22.057,397.695,40,263.132,0.101,0.906,0.53,1.465,0.026,36.18,2.582,58.552,0.864,0.056,1.796,7.683,0,6.9219,0.014502,0.0099062,0.00046014,1690,0.7776366
"16",0.757,19.66,0.469,2.626,0.953,30.079,2696.78,71.836,0.001,0.08,1.629,0.121,0.16,1.992,1.822,1.197,0.3,0.199,0.199,5638.713,114.421,22.046,9.743,21.766,245.4,40,70.249,0.326,0.106,0.108,1.674,0.022,52.249,1.248,62.829,1.05,0.079,1.233,4.023,0,2.5293,0.0015652,0.0006757,6.1172e-06,5640,0.034501008
"17",0.722,16.337,0.301,1.369,0.418,48.764,3313.732,62.867,0.332,0.424,1.456,0.091,0.202,0.789,3.438,1.982,0.356,0.126,0.126,5488.441,358.088,23.884,449.793,24.796,392.855,40,304.956,0.38,0.562,0.347,0.936,0.001,9.126,3.256,48.605,0.134,0.128,3.613,8.98,0,1.5164,8.2428e-05,8.0924e-05,1.7274e-05,5520,0.09535248
"18",0.739,19.825,0.274,4.495,0.583,23.888,4246.153,51.098,0.174,0.175,1.381,0.044,0.263,0.145,2.051,0.59,0.899,0.06,0.06,5906.063,167.034,21.837,137.969,24.569,398.349,40,320.772,0.044,0.203,0.408,1.343,0.014,32.666,0.438,11.314,0.254,0.139,7.165,1.444,0.001,0.55391,0.0018697,0.00081181,1.6909e-05,5910,0.09993219
"19",0.754,15.847,0.159,0.283,0.314,38.722,3031.239,91.828,0.41,0.172,1.302,0.076,0.161,1.855,1.56,1.927,0.469,0.194,0.194,4261.104,178.565,21.587,106.628,22.924,174.737,40,316.93,0.522,0.132,0.189,0.939,0.007,33.726,0.754,72.395,0.553,0.087,0.695,2.189,0.001,5.7993,0.0023493,0.0019453,0.00032113,4270,1.3712251
"20",0.732,15.554,0.343,1.577,0.215,44.065,2459.43,93.849,0.507,0.275,1.49,0.155,0.2,1.559,4.658,1.057,0.117,0.198,0.198,3783.962,110.688,24.639,366.654,21.886,352.657,40,220.906,0.669,0.258,0.439,1.735,0.023,10.009,4.606,36.977,1.479,0.135,9.266,1.526,0,6.2402,0.0016063,0.00087593,7.5196e-05,3790,0.28499284
"21",0.755,18.521,0.263,4.154,0.632,45.228,4599.396,91.011,0.185,0.445,1.532,0.006,0.114,0.491,0.349,1.073,0.335,0.045,0.045,4154.896,322.969,20.737,328.154,23.89,367.453,40,351.953,0.245,0.03,0.796,1.407,0.001,29.333,2.996,53.036,0.332,0.029,1.384,4.55,0.001,5.6296,0.010924,0.0099895,0.0064816,4310,27.935696
"22",0.745,18.841,0.27,3.208,0.362,12.715,2381.813,81.414,0.458,0.288,1.383,0.135,0.138,0.898,1.695,1.419,0.364,0.178,0.178,4870.489,319.498,22.131,249.602,21.162,315.652,40,358.127,0.44,0.174,0.766,1.056,0.012,16.675,1.95,43.738,1.283,0.071,9.83,5.907,0,3.8303,0.0077505,0.0058538,0.00039419,4880,1.9236472
"23",0.731,16.391,0.442,3.007,0.273,10.592,4758.46,59.657,0.385,0.013,1.574,0.049,0.102,0.519,1.765,1.744,0.468,0.101,0.101,2077.698,220.093,24.829,231.002,22.499,340.182,40,167.661,0.429,0.198,0.347,0.899,0.011,33.119,0.075,74.832,0.206,0.101,5.637,2.886,0.001,1.2385,0.0050039,0.0040929,0.00016964,2080,0.3528512
"24",0.777,18.56,0.104,4.995,0.277,16.535,3246.341,96.055,0.928,0.427,1.435,0.117,0.21,0.822,2.009,1.661,0.263,0.075,0.075,3021.929,316.189,23.695,420.969,23.09,168.725,40,304.642,0.108,0.835,0.18,1.249,0.016,44.022,4.611,56.261,0.049,0.021,13.546,6.344,0,6.7084,0.014147,0.0098481,0.00045022,3020,1.3596644
"25",0.734,18.068,0.231,1.899,0.95,27.784,3930.958,54.853,0.166,0.431,1.464,0.071,0.276,1.884,3.724,1.87,0.15,0.153,0.153,2635.092,151.526,24.847,65.373,24.438,165.684,40,336.705,0.675,0.492,0.382,1.181,0.022,50.347,2.309,79.149,1.313,0.042,4.499,1.951,0,0.83607,0.0038717,0.0018597,1.0663e-05,2640,0.02815032
"26",0.774,15.044,0.337,2.487,0.985,6.286,4120.125,91.058,0.173,0.245,1.346,0.071,0.132,0.911,4.132,1.438,0.985,0.05,0.05,3117.695,241.364,20.168,203.946,23.222,174.271,40,157.522,0.249,0.579,0.216,1.665,0.013,18.485,3.055,25.901,0.035,0.083,4.074,6.951,0,5.6089,0.018533,0.011406,0.00038458,3120,1.1998896
"27",0.723,17.019,0.265,1.199,0.216,1.579,2412.151,74.534,0.068,0.09,1.445,0.122,0.262,1.189,5.787,1.392,0.946,0.046,0.046,1303.856,134.207,23.877,351.82,21.795,243.055,40,100.859,0.292,0.219,0.63,1.615,0.015,24.075,3.063,34.479,0.633,0.092,11.728,1.305,0.001,2.9187,0.0033797,0.0021311,8.8648e-05,1310,0.11612888
"28",0.75,16.465,0.314,0.778,0.411,42.395,3822.901,82.439,0.211,0.274,1.45,0.05,0.162,1.726,3.951,1.196,0.126,0.128,0.128,1645.596,197.163,21.32,701.744,23.783,197.414,40,263.299,0.258,0.131,0.349,1.013,0.009,54.227,0.725,18.402,0.631,0.133,13.492,6.251,0,3.9498,0.0016568,0.0014,0.00022602,1650,0.372933
"29",0.746,17.527,0.484,2.287,0.73,4.116,4900.204,76.332,0.357,0.028,1.555,0.043,0.249,1.494,2.666,1.683,0.149,0.149,0.149,4905.367,274.608,20.742,50.067,24.245,202.908,40,303.87,0.118,0.746,0.16,1.753,0.013,8.465,2.038,15.232,0.341,0.11,5.482,8.801,0,3.0677,0.0042121,0.0021821,1.0236e-05,4910,0.05025876
"30",0.768,16.951,0.342,4.709,0.683,20.581,2512.929,94.363,0.37,0.03,1.583,0.042,0.273,1.93,2.772,0.567,0.311,0.195,0.195,3387.98,226.081,20.999,340.832,22.163,110.078,40,97.373,0.558,0.589,0.608,1.259,0.002,0.294,3.253,24.848,0.531,0.018,13.552,8.243,0.001,6.2398,0.0023761,0.0020851,0.00023892,3390,0.8099388
"31",0.727,18.424,0.394,1.964,0.946,11.426,2681.846,68.131,0.789,0.264,1.505,0.091,0.166,0.547,4.635,0.891,0.21,0.166,0.166,3366.56,111.676,23.96,530.295,22.616,355.994,40,176.543,0.704,0.082,0.663,0.947,0.009,30.238,3.175,31.252,1.284,0.06,11.654,1.531,0.001,2.0696,0.0026631,0.0019574,0.0002329,3380,0.787202
"32",0.737,19.725,0.145,1.954,0.424,31.981,3437.508,69.399,0.353,0.248,1.533,0.037,0.293,0.854,3.86,0.723,0.856,0.152,0.152,3994.479,44.133,24.811,318.749,23.761,364.71,40,231.559,0.448,0.502,0.72,1.198,0.012,1.793,4.017,44.436,0.667,0.005,4.842,0.441,0,2.1696,0.0049327,0.0014767,2.1312e-05,4000,0.085248
"33",0.741,19.579,0.13,3.074,0.948,49.691,4708.699,74.269,0.404,0.101,1.306,0.059,0.294,0.825,4.223,1.95,0.69,0.088,0.088,1574.959,51.512,23.399,296.5,24.448,303.537,40,224.364,0.52,0.598,0.398,1.579,0.009,29.808,3.288,67.939,0.132,0.084,7.445,8.226,0.001,2.8188,0.012352,0.009506,0.00017813,1580,0.2814454
"34",0.772,18.405,0.227,0.733,0.455,34.663,3642.347,54.789,0.776,0.065,1.523,0.134,0.253,0.505,4.466,1.489,0.606,0.2,0.2,2098.224,338.289,20.252,695.729,20.173,114.93,40,254.466,0.548,0.251,0.549,1.105,0.025,38.398,0.669,72.058,0.201,0.069,7.727,0.936,0,0.82926,0.0039875,0.0022368,7.3297e-05,2100,0.1539237
"35",0.722,18.191,0.262,3.053,0.826,30.832,4657.286,80.815,0.208,0.042,1.39,0.02,0.14,1.7,2.445,1.359,0.793,0.193,0.193,2812.863,89.868,21.729,198.074,21.929,183.395,40,175.578,0.64,0.329,0.16,1.654,0.017,38.569,2.161,72.331,1.48,0.053,14.223,5.248,0,3.8316,0.019294,0.012653,0.00032508,2810,0.9134748
"36",0.757,16.772,0.168,1.092,0.94,19.072,3148.399,87.81,0.613,0.424,1.304,0.054,0.261,0.429,3.543,1.405,0.798,0.18,0.18,1629.891,306.395,23.687,124.198,22.51,182.69,40,172.653,0.503,0.506,0.415,1.307,0.003,3.576,2.36,15.476,0.397,0.097,14.08,8.135,0.001,4.9978,0.0083888,0.0076321,0.00045989,1630,0.7496207
"37",0.754,18.678,0.364,2.034,0.362,33.094,3293.68,79.363,0.901,0.268,1.303,0.091,0.236,1.077,0.782,1.3,0.297,0.088,0.088,4769.843,237.38,22.707,210.084,21.671,130.51,40,213.967,0.001,0.573,0.525,1.102,0.017,41.868,0.305,2.71,0.4,0.048,9.864,1.309,0,3.5228,0.039422,0.018526,0.00018335,4780,0.876413
"38",0.775,16.75,0.422,4.741,0.569,26.863,3262.298,55.876,0.034,0.294,1.305,0.108,0.194,0.747,1.117,1.824,0.796,0.126,0.126,5426.329,163.657,24.065,155.43,21.942,206.41,40,115.757,0.724,0.582,0.318,1.263,0.012,33.305,3.207,8.957,0.804,0.011,5.24,0.197,0.001,0.89826,0.0097431,0.0022504,9.779e-06,5430,0.05309997
"39",0.739,17.78,0.469,4.515,0.797,0.822,3649.139,67.09,0.063,0.251,1.386,0.123,0.224,1.956,4.548,1.319,0.641,0.198,0.198,3205.315,315.914,23.17,561.881,24.894,288.011,40,324.19,0.197,0.969,0.284,1.451,0.015,41.964,1.35,57.477,1.054,0.044,1.366,8.072,0,1.9415,0.0037961,0.0020016,1.9653e-05,3210,0.06308613
"40",0.771,15.134,0.213,4.831,0.577,39.059,4081.52,61.707,0.785,0.315,1.524,0.117,0.197,1.839,4.977,1.184,0.784,0.101,0.101,2475.932,308.053,24.016,228.77,21.482,381.527,40,218.352,0.643,0.251,0.703,1.167,0.021,38.467,1.288,78.542,1.182,0.109,8.989,8.611,0,1.3933,0.0070728,0.0050391,0.00011731,2480,0.2909288
"41",0.778,15.309,0.235,2.803,0.87,19.242,2256.112,68.235,0.59,0.152,1.324,0.016,0.149,1.869,3.015,0.517,0.667,0.064,0.064,5142.609,302.948,23.625,635.927,22.911,207.333,40,315.39,0.061,0.638,0.438,1.725,0.01,4.178,0.586,27.572,0.735,0.033,8.569,3.038,0.001,2.0345,0.0048376,0.0022166,2.5341e-05,5140,0.13025274
"42",0.749,16.142,0.347,0.815,0.328,10.048,2346.015,51.579,0.311,0.16,1.617,0.131,0.211,1.143,5.643,1.437,0.43,0.091,0.091,5275.532,31.747,24.786,298.049,22.672,360.774,40,252.975,0.741,0.881,0.1,1.513,0.005,52.793,3.874,6.98,0.867,0.008,11.465,1.261,0,0.60303,0.00099572,0.00060751,5.3075e-06,5280,0.0280236
"43",0.761,19.891,0.259,4.272,0.34,44.61,3749.641,55.102,0.792,0.332,1.475,0.039,0.181,0.476,3.893,0.966,0.507,0.02,0.02,3697.393,273.726,24.312,272.734,24.539,143.705,40,203.441,0.599,0.354,0.74,1.419,0.029,16.582,1.907,47.549,0.085,0.027,9.19,9.182,0.001,0.83911,0.0035233,0.0013586,2.1157e-05,3700,0.0782809
"44",0.724,16.681,0.393,2.488,0.508,49.942,2042.397,69.43,0.206,0.419,1.305,0.123,0.196,1.794,4.172,0.782,0.845,0.117,0.117,4021.784,169.491,21.247,673.08,20.309,306.037,40,12.457,0.011,0.623,0.784,1.302,0.024,56.18,1.664,48.627,0.561,0.094,11.096,7.706,0.001,2.1557,0.0035397,0.0020149,2.8236e-05,4030,0.11379108
"45",0.775,19.659,0.129,2.491,0.202,1.778,4770.373,53.217,0.132,0.024,1.557,0.032,0.163,0.077,2.662,1.565,0.726,0.168,0.168,4821.778,173.406,22.031,76.081,20.855,247.022,40,180.757,0.019,0.952,0.412,1.625,0.012,49.693,1.472,78.062,0.948,0.045,8.662,0.035,0.001,0.68418,0.0013579,0.00071656,2.1778e-06,4830,0.010518774
"46",0.73,16.205,0.258,0.581,0.872,38.567,3174.482,93.952,0.399,0.271,1.488,0.04,0.245,0.554,2.834,0.971,0.581,0.156,0.156,4784.563,22.155,23.455,544.248,20.892,143.866,40,299.512,0.483,0.084,0.384,1.612,0.011,58.577,0.629,79.571,0.075,0.022,8.157,0.658,0.001,6.2425,0.0065995,0.0037614,0.0010165,4790,4.869035
"47",0.755,19.322,0.335,4.901,0.807,33.443,4739.435,70.027,0.61,0.212,1.5,0.041,0.124,0.271,3.336,1.513,0.194,0.133,0.133,5766.501,241.479,23.262,8.991,20.683,142.109,40,53.034,0.018,0.359,0.611,1.339,0.026,58.375,4.772,3.518,0.728,0.134,13.743,2.086,0,2.2912,0.013969,0.0043793,2.5251e-05,5770,0.14569827
"48",0.723,18.15,0.479,0.688,0.532,29.18,3195.392,92.572,0.152,0.354,1.496,0.094,0.126,0.544,4.923,0.586,0.945,0.127,0.127,5285.98,126.402,24.886,292.356,21.64,321.875,40,189.132,0.68,0.376,0.148,1.632,0.023,47.553,1.548,3.943,1.085,0.103,14.934,2.796,0.001,6.0609,0.0027456,0.0012144,6.5706e-05,5290,0.34758474
"49",0.778,18.635,0.279,2.017,0.729,22.854,4520.525,52.62,0.218,0.045,1.456,0.021,0.189,1.344,1.748,0.517,0.115,0.129,0.129,3913.424,188.314,20.187,15.201,21.641,378.597,40,55.613,0.292,0.456,0.607,1.438,0.019,49.662,0.893,12.938,0.162,0.04,12.657,5.695,0.001,0.67864,0.002459,0.001094,2.7632e-06,3920,0.010831744
"50",0.746,17.714,0.22,2.155,0.483,17.496,2813.728,56.184,0.138,0.131,1.587,0.017,0.223,1.773,1.312,0.965,0.373,0.071,0.071,4846.731,327.728,22.959,625.829,23.606,397.868,40,7.721,0.214,0.011,0.48,1.639,0.006,8.722,3.919,62.972,0.911,0.138,2.83,3.375,0,0.91021,0.00056983,0.00050244,0.00027141,4910,1.3326231
"51",0.75,18.087,0.238,2.634,0.955,18.57,4844.418,67.355,0.437,0.29,1.445,0.025,0.214,1.235,2.365,1.864,0.304,0.106,0.106,1974.987,240.963,24.47,460.549,22.855,279.737,40,268.718,0.497,0.396,0.429,1.233,0.017,7.683,3.044,74.293,1.015,0.094,2.622,2.718,0,1.9416,0.012474,0.0081611,0.00016168,1980,0.3201264
"52",0.765,19.625,0.149,3.212,0.316,5.824,3570.567,67.529,0.527,0.222,1.633,0.027,0.279,1.058,5.188,1.493,0.575,0.069,0.069,2637.521,90.825,24.403,728.343,22.77,229.881,40,150.971,0.01,0.338,0.694,1.222,0.018,46.984,2.479,61.542,0.542,0.008,5.633,4.824,0,2.0697,0.0068427,0.0029283,7.3331e-05,2640,0.19359384
"53",0.775,19.382,0.139,3.029,0.156,12.091,2671.878,88.289,0.347,0.138,1.491,0.094,0.127,1.377,3.25,1.99,0.572,0.14,0.14,3911.704,253.227,20.999,90.605,23.769,201.416,40,288.504,0.207,0.357,0.249,1.664,0.024,19.554,1.765,2.54,0.217,0.114,10.091,3.289,0.001,5.0076,0.0082145,0.0038037,7.9904e-05,3910,0.31242464
"54",0.745,16.82,0.427,2.804,0.305,7.129,4144.607,65.667,0.162,0.334,1.542,0.036,0.131,1.133,1.947,1.881,0.836,0.078,0.078,4793.462,118.516,20.993,18.778,20.894,288.364,40,162.675,0.532,0.473,0.308,1.267,0.03,16.832,4.787,62.476,1.424,0.022,0.746,5.158,0.001,1.8175,0.019046,0.0050243,2.205e-05,4790,0.1056195
"55",0.723,18.473,0.267,0.978,0.295,0.697,2190.976,96.982,0.834,0.009,1.592,0.139,0.285,0.867,4.927,0.626,0.563,0.064,0.064,3498.193,163.469,21.411,256.482,23.313,345.553,40,50.823,0.146,0.608,0.27,1.045,0.028,39.171,0.518,65.937,1.082,0.121,14.394,9.389,0,6.9212,0.0026162,0.0019072,0.00014078,3500,0.49273
"56",0.725,18.888,0.468,2.081,0.169,19.898,3903.183,56.595,0.142,0.33,1.448,0.115,0.23,0.179,0.355,1.205,0.917,0.113,0.113,3825.249,354.375,23.845,229.57,22.923,345.358,40,57.122,0.547,0.903,0.69,1.675,0.015,56.504,1.73,11.672,1.135,0.051,0.354,0.192,0,0.98508,0.020724,0.0023316,8.0028e-06,3830,0.030650724
"57",0.768,19.606,0.165,3.588,0.631,34.093,3668.981,81.152,0.267,0.253,1.391,0.042,0.127,1.659,1.464,1.521,0.703,0.091,0.091,2231.498,53.706,23.374,650.571,21.292,148.546,40,63.319,0.633,0.35,0.219,1.325,0.022,33.203,0.967,50.937,0.075,0.039,11.733,3.547,0.001,3.828,0.038561,0.024845,0.00088871,2230,1.9818233
"58",0.752,16.607,0.424,0.131,0.714,40.62,4797.206,70.144,0.742,0.218,1.585,0.142,0.232,1.514,4.467,1.693,0.684,0.072,0.072,5428.794,124.22,24.925,374.076,21.006,320.609,40,317.09,0.694,0.859,0.388,1.517,0.028,36.89,0.735,53.647,1.009,0.134,8.946,8.579,0.001,2.2747,0.0016784,0.00090271,8.3217e-06,5430,0.045186831
"59",0.721,16.454,0.136,2.158,0.926,35.711,2715.978,91.487,0.111,0.397,1.424,0.133,0.251,0.79,5.837,0.521,0.243,0.116,0.116,5785.508,278.251,24.186,365.953,24.002,327.937,40,251.649,0.541,0.04,0.626,1.039,0.03,41.363,4.809,23.326,1.15,0.118,6.245,8.992,0,5.6274,0.0016134,0.00099552,0.00023579,5800,1.367582
"60",0.771,18.174,0.212,0.2,0.739,38.675,2990.305,73.715,0.006,0.341,1.529,0.119,0.189,1.43,2.457,1.882,0.645,0.125,0.125,4141.391,229.584,23.746,588.101,21.293,109.853,40,91.453,0.517,0.455,0.452,1.178,0.016,1.37,0.289,24.965,0.508,0.055,9.223,8.588,0,2.8013,0.0015829,0.00097862,2.1381e-05,4140,0.08851734
"61",0.778,16.556,0.101,4.807,0.271,42.776,2809.549,80.805,0.155,0.465,1.461,0.052,0.219,0.246,3.706,0.677,0.923,0.115,0.115,4790.451,5.098,24.094,314.263,24.739,403.591,40,88.641,0.652,0.137,0.375,1.487,0.014,54.936,4.868,79.47,0.477,0.011,8.796,7.675,0,3.8045,0.0016738,0.00097623,7.7416e-05,4800,0.3715968
"62",0.727,17.557,0.132,3.089,0.555,47.983,3684.061,75.121,0.004,0.025,1.359,0.119,0.108,1.218,0.451,0.77,0.15,0.147,0.147,1665.422,151.421,23.796,51.739,20.245,311.917,40,30.419,0.161,0.318,0.439,0.967,0.023,20.76,3.665,76.965,0.405,0.045,13.608,4.913,0.001,2.9201,0.0031257,0.0021883,2.134e-05,1670,0.0356378
"63",0.78,16.934,0.425,1.221,0.851,24.329,3184.806,63.878,0.673,0.191,1.361,0.12,0.1,0.891,3.027,0.54,0.852,0.011,0.011,5622.607,338.221,23.092,434.129,23.927,199.358,40,139.911,0.428,0.098,0.566,1.132,0.024,52.411,4.003,72.261,0.498,0.101,7.205,4.189,0.001,1.6119,0.0033251,0.0020777,0.00014069,5630,0.7920847
"64",0.749,18.443,0.409,0.097,0.125,46.4,3410.28,82.446,0.323,0.191,1.309,0.105,0.171,0.041,3.172,0.707,0.205,0.034,0.034,4977.004,353.155,21.524,186.846,23.462,290.977,40,105.747,0.219,0.544,0.506,1.067,0.011,20.345,3.273,66.719,0.044,0.004,6.742,2.517,0,3.9614,0.0017206,0.00097878,1.0764e-05,4980,0.05360472
"65",0.773,19.631,0.145,3.241,0.811,43.113,4749.616,97.949,0.235,0.152,1.477,0.108,0.149,1.236,4.631,0.672,0.275,0.148,0.148,3435.259,330.276,22.147,293.827,23.363,357.461,40,301.816,0.336,0.356,0.179,1.043,0.021,56.835,1.205,78.964,0.404,0.092,7.656,3.665,0.001,7.1322,0.0022389,0.0016553,0.00020845,3440,0.717068
"66",0.759,16.162,0.405,4.918,0.438,29.633,4279.354,56.4,0.751,0.316,1.449,0.115,0.219,0.726,5.935,0.735,0.799,0.15,0.15,4093.295,226.431,20.798,5.234,20.216,238.008,40,363.989,0.268,0.96,0.701,1.355,0.006,6.67,1.364,44.92,1.027,0.005,4.15,6.65,0.001,0.89907,0.0022451,0.0013937,3.5781e-06,4100,0.01467021
"67",0.746,15.975,0.284,2.435,0.27,11.596,3338.557,66.292,0.704,0.164,1.629,0.05,0.101,1.857,2.997,1.865,0.937,0.124,0.124,2287.775,292.128,23.026,579.001,20.139,330.771,40,211.644,0.363,0.514,0.372,1.059,0.03,39.072,3.813,25.572,1.064,0.106,9.783,2.359,0,1.8095,0.032705,0.015241,0.00016392,2290,0.3753768
"68",0.72,15.004,0.228,1.508,0.231,45.17,4725.669,59.458,0.234,0.434,1.535,0.119,0.239,0.194,3.384,1.068,0.766,0.185,0.185,1298.489,148.212,21.193,571.903,21.03,357.899,40,279.841,0.265,0.364,0.302,1.611,0.006,50.4,2.075,47.727,0.015,0.127,6.809,7.262,0,1.1394,0.0013653,0.0011268,5.4942e-05,1300,0.0714246
"69",0.775,16.17,0.128,1.177,0.593,7.171,4486.95,79.508,0.804,0.04,1.328,0.002,0.199,1.569,0.455,1.175,0.954,0.194,0.194,4786.325,85.64,23.5,192.373,21.427,375.889,40,122.058,0.32,0.67,0.128,1.217,0.015,14.008,2.47,0.551,0.061,0.032,12.691,4.675,0.001,3.6261,0.039496,0.022339,0.00020666,4790,0.9899014
