"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"2338",0.0136369849878226,0.00747723169983601,0.066540942732074,0.115919229663523,0.0879171743044445,0.00562204364729929,-0.0148449003308662,0.312237754826883,0.125191623463323,-0.0202735572389136,-0.00334142600426375,0.0138422031734008,-0.0152631166402732,3.8392441547273e-05,-0.211081053513679,0.131923055242677,0.170906452161461,0.00884585492351568,0.00884585492351568,-0.120475997512267,0.0132891433119944,-0.016201277680615,0.141966299957552,0.0271971449762449,-0.0124876590743966,-0.00537046360138742,-0.00643051639672945,-0.00519362193545722,-0.255800718009747,-0.0073642623731961,-0.0694081603611303,0.0174676625733166,-0.0115550387522499,0.0153702684698873,-0.00234707268487745,0.00761242800894351,-0.00271922354139091,0.00929367269948792,-0.014427626800636,-0.0102453182637124
"2339",0.0136415945950896,0.00753396303383611,0.0665044981546177,0.115928424997851,0.087940082488481,0.00562959211786915,-0.0147776616436609,0.312290555463292,0.125253097216153,-0.0202296508466494,-0.00334621361136959,0.0138280092389587,-0.0152946333590038,4.20011242108659e-05,-0.211118467598822,0.131953553175744,0.170910890499757,0.00884599302276516,0.00884599302276516,-0.120388367199963,0.0132711764920564,-0.0161793758981592,0.142316400190883,0.0273041932916544,-0.0124913788792752,-0.00538513674630137,-0.00638593199288161,-0.0052016130020608,-0.255689661831749,-0.00733724499062116,-0.0694385380741625,0.0175192976089037,-0.0115551640030948,0.015398489030961,-0.00234700486833493,0.00764393182944223,-0.00272812346355855,0.0092827980669413,-0.0144280096174436,-0.0102459409904987
"2340",0.0136454415621818,0.00759098362504996,0.0664659428753044,0.115938557833591,0.0879649204743569,0.00563754618263552,-0.0147092123508991,0.312345693497968,0.12531516546818,-0.0201846436797653,-0.00335247778925464,0.0138132737014971,-0.0153262669485914,4.46922948403847e-05,-0.211157117781502,0.131984892250874,0.170916186330024,0.00884633004389524,0.00884633004389524,-0.120299828098659,0.0132528635073227,-0.0161562690032443,0.142671639640422,0.0274126707852672,-0.0124936489413683,-0.00540059806196582,-0.00634189835625325,-0.00520945647080306,-0.255576663399319,-0.00730960359396674,-0.0694683893896057,0.0175727201868984,-0.0115549160645553,0.015427139860296,-0.00234754206786939,0.00767585699865604,-0.00273600616747348,0.00927251711875787,-0.0144276666145841,-0.010246885693669
"2341",0.0136496227109767,0.00764910140541776,0.0664279979785536,0.115950649813227,0.0879903501655392,0.00564611279362922,-0.0146394332832456,0.312405475902126,0.125380746970965,-0.02014002096867,-0.00335793434354861,0.0137988816714132,-0.0153593581512554,4.70497923220102e-05,-0.211198394297355,0.132018882609695,0.170922974530297,0.00884666057676591,0.00884666057676591,-0.12020994247283,0.0132345089039913,-0.0161323365847428,0.143031537062873,0.0275238087971439,-0.0124957954111412,-0.00541683351803446,-0.00629706449510994,-0.00521793215223236,-0.255460131346254,-0.00728144357027739,-0.0694999144754668,0.017626648945355,-0.0115564172776747,0.0154553882559242,-0.00234627248044378,0.00770886751959108,-0.00274488508955397,0.0092614136368989,-0.0144279676303127,-0.0102475445441188
"2342",0.0136538224172733,0.00770722531465712,0.0663895830551788,0.115960189779426,0.0880146871777951,0.00565423671195975,-0.0145713731059317,0.312458607027658,0.125443367845329,-0.0200965677380427,-0.00336491251336187,0.0137829952252578,-0.015390640695508,4.84209929203319e-05,-0.211236780828568,0.132049968355998,0.170927109529574,0.0088470258736263,0.0088470258736263,-0.120119557223384,0.0132163415520181,-0.0161096567652753,0.143389977618935,0.0276339144657395,-0.0124970468554026,-0.00543267856688786,-0.00625311525392367,-0.00522593151076337,-0.255346550315516,-0.00725361080499283,-0.0695285846326552,0.017682289543555,-0.011555354916809,0.0154840285225844,-0.00234795842960152,0.00774038024675883,-0.00275427440755955,0.00924926712484219,-0.014430617805243,-0.0102485137963861
"2343",0.0136579033326146,0.00776533097089078,0.0663511739247606,0.115963898813295,0.0880344831740448,0.0056611199000408,-0.014505896068411,0.31249857355613,0.125499811938049,-0.0200534835273001,-0.00337106485512054,0.0137678709669653,-0.0154192606871669,5.18802486132315e-05,-0.21126778284902,0.132074727540291,0.170926480625091,0.00884704466801639,0.00884704466801639,-0.120029759012717,0.013197262876436,-0.0160866866250864,0.143740322169019,0.0277407252194134,-0.0124982257422379,-0.00544720810956282,-0.00621036199678805,-0.00523351885057093,-0.255234902200149,-0.00722766372152069,-0.0695526786890332,0.0177376957180777,-0.0115519724358295,0.0155127565536251,-0.00235276245316822,0.0077714781161231,-0.00276306824572443,0.00923859377922574,-0.0144333520885137,-0.0102482164398379
"2344",0.0136630219512178,0.00782164056513552,0.0663127561674275,0.11596704621619,0.0880529236884874,0.0056681046610389,-0.0144415662562227,0.312533068362385,0.125553014719755,-0.0200107931539875,-0.00337618875822421,0.0137540527351986,-0.0154467377784862,5.47911065552911e-05,-0.211295248848403,0.13209741759215,0.17092299444116,0.00884714965301579,0.00884714965301579,-0.119940310530604,0.0131794622212321,-0.016065516902921,0.14408535710911,0.0278460599523949,-0.0124998287191793,-0.005461163521629,-0.00616835126421929,-0.0052398501655607,-0.255123531838019,-0.00720286940466203,-0.0695758326032826,0.0177922401652944,-0.0115486212627376,0.0155414244217416,-0.00235678431728726,0.00780273080452139,-0.00277134381323249,0.00922888925911601,-0.0144357684775128,-0.0102483246964186
"2345",0.01366781771157,0.00787884930034991,0.0662740804909897,0.115965487837875,0.0880682522347772,0.00567442685029733,-0.0143799056919832,0.312559218802613,0.125601870771443,-0.0199697538281383,-0.00338261148764383,0.013740125587252,-0.0154732370537091,5.79024517426676e-05,-0.211317620972044,0.132115510210655,0.170915969606324,0.00884716881066489,0.00884716881066489,-0.119850635292578,0.0131614909789599,-0.0160436615390411,0.144426295106232,0.0279495338529711,-0.0125017174016131,-0.00547447018518125,-0.00612804126639745,-0.00524740066087157,-0.255013203820166,-0.00717785740245281,-0.0695967835041236,0.0178454274204047,-0.0115451689904693,0.0155707578070705,-0.00236202990542655,0.00783291280447411,-0.0027786066833251,0.00921892794653951,-0.0144378983850876,-0.010249392689925
"2346",0.0136726285775732,0.00793500844468633,0.0662347050678457,0.115965973092549,0.088085127594249,0.00568101117401665,-0.0143162796042555,0.312590406111417,0.125652273863964,-0.0199273827339703,-0.00338743212985747,0.0137281614960361,-0.0155010544001275,6.24198186933985e-05,-0.211341541375412,0.132136234363407,0.170909621512912,0.00884699541025331,0.00884699541025331,-0.119762891813035,0.0131435228807067,-0.0160214900456299,0.144770181076075,0.0280535971746245,-0.0125042087037205,-0.00548857583327689,-0.0060866804951417,-0.00525459164462936,-0.254897959799456,-0.00715167781045879,-0.0696206430931555,0.0178976490155853,-0.011543449961488,0.0155995954505438,-0.00236468692832517,0.00786512061998339,-0.00278495247830741,0.00921096388177958,-0.0144371521123232,-0.0102506309913057
"2347",0.0136768865393501,0.00799221569465499,0.0661946833537795,0.115965770465296,0.0881006098090148,0.00568753053931865,-0.014253055476187,0.312620002449403,0.125703269166923,-0.019885037038328,-0.00339256128662665,0.0137154217334683,-0.0155286939337325,6.61697394441001e-05,-0.211364991068788,0.13215634989763,0.17090260474023,0.00884681967087185,0.00884681967087185,-0.119672894333491,0.0131250932820445,-0.015999220650836,0.145116237371304,0.0281579172236468,-0.0125064300498139,-0.00550159923663605,-0.00604549037167083,-0.00526129696420249,-0.254781196783686,-0.00712574636245884,-0.0696438420645387,0.0179501073502548,-0.0115424792092288,0.0156288433576798,-0.00236620275094939,0.00789731051634025,-0.00279168018271548,0.00920147265044344,-0.0144374100900805,-0.0102518417784653
"2348",0.0136819362154789,0.0080500582787766,0.0661546551314126,0.115963450367842,0.0881139370267899,0.00569492811666812,-0.0141882205210187,0.312643803471562,0.125752211821816,-0.0198418578731995,-0.00339719386309578,0.0137027628180513,-0.0155564424095949,7.03306326442585e-05,-0.211384681388421,0.132174387341802,0.170892096628823,0.00884665963395424,0.00884665963395424,-0.119580602230693,0.0131069499685944,-0.0159776787294715,0.145465717632336,0.0282632606229081,-0.0125092029533468,-0.00551495447454727,-0.00600492031200994,-0.00526789076800083,-0.254661286846863,-0.00709977892918396,-0.0696662205936146,0.0180025106681252,-0.0115412987009263,0.0156590224635817,-0.00236870400789786,0.00793022219876644,-0.00279929675826263,0.00919231186672602,-0.0144377069451772,-0.0102537524003576
