"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"2107",0.0111734443096023,0.0143732618724521,0.0594085564756414,0.108314548457218,0.0822945135610145,0.00671347312458393,-0.00648321260977859,0.314859488474021,0.119038157945815,-0.0172067332377612,-0.00513790250039827,0.0140272954523165,-0.0167774468257194,-0.00249849369942684,-0.200045600943959,0.126410844926603,0.159780458686048,0.00877438979625958,0.00877438979625958,-0.0952480143073372,0.0129653930185874,-0.0141000492178207,0.160922077982056,0.0325656205028815,-0.0128074179536841,-0.00690281022664163,-0.000646982277136722,-0.00621913201683689,-0.241934698943675,-0.00576460029101998,-0.0663373542440626,0.0229395911496536,-0.0123542375383216,0.0171697878114015,-0.00278583891621965,0.0104543441251844,-0.00253338948761645,0.00601917999916566,-0.0139167830579328,-0.0116810854805978
"2108",0.0111224622431108,0.0143360502475331,0.0593775457210978,0.108294415053958,0.0822473745430609,0.00673124815148369,-0.00643185724235598,0.314916685354596,0.118978441270499,-0.0171587352710929,-0.0051662546912999,0.014060619021948,-0.0167969817631663,-0.0025213350311417,-0.200009402456152,0.126384343660132,0.159648325498879,0.00877660205042407,0.00877660205042407,-0.0950154888756084,0.0129515204188757,-0.0141133105703946,0.161035603315465,0.0326350586959396,-0.0128384943763061,-0.00690038367786672,-0.000655286119043442,-0.00624036825244556,-0.241737138014638,-0.00575763361264699,-0.0664715481066502,0.0224969541175946,-0.0123827522240511,0.0171787258876814,-0.00254832780515091,0.0105028117341823,-0.00237691113577698,0.00610847089622726,-0.0137098610236528,-0.0117107106574423
"2109",0.0110507085423667,0.0142781365945617,0.0593687760215153,0.108346068948469,0.0821875655615732,0.00676360044933219,-0.00639017570880775,0.315070379454172,0.118996109211141,-0.0171598404463756,-0.00524775071662791,0.0140896242939764,-0.0167592898172433,-0.0026445489789911,-0.200060003960068,0.126387240203502,0.159623657938747,0.00878418016339938,0.00878418016339938,-0.0943196282506457,0.0129492172081423,-0.0140667062878367,0.161207989190695,0.0327154971953458,-0.0128777613968741,-0.00684518484063225,-0.000611248186199309,-0.00626656094483547,-0.241692061415978,-0.00575575972445135,-0.0664537808723536,0.0220082087732121,-0.0123490917156665,0.0171906423334165,-0.00231998614343797,0.0105335255703884,-0.00222961392812372,0.00613299872131148,-0.0135184263345254,-0.0117441264984785
"2110",0.0111393763840112,0.0143814709353075,0.0593740707743694,0.10840313341698,0.0823275671962514,0.00675372827547616,-0.00636379546692207,0.314958992245821,0.119147240351813,-0.017135965957788,-0.00520674270255273,0.0140376728082892,-0.016790971995652,-0.00258432722729805,-0.200156408827098,0.126470883231053,0.159713199926628,0.00878071740471723,0.00878071740471723,-0.0948099082767021,0.0128981292606238,-0.0140127508491536,0.161541898057557,0.0327877246710949,-0.0128139457341919,-0.00687526442444721,-0.000579423967256881,-0.00624008045824021,-0.241690479182993,-0.00574652572489821,-0.0663818400135653,0.0226782710484904,-0.0123490002311171,0.0172128199654324,-0.0026143099022665,0.0105441035904392,-0.00250036095069362,0.00601030273774829,-0.0138389011288455,-0.0116989510190469
"2111",0.0112364899845822,0.0145133468472451,0.059302591976046,0.108291293461445,0.0824491269588474,0.00672470582643113,-0.00632421754559259,0.314735253342874,0.119131638487944,-0.0170379117551699,-0.00506611978342102,0.0139761804307342,-0.0169005232527526,-0.0023720258706021,-0.20003216776301,0.126471826489363,0.159621029903999,0.00877049340993946,0.00877049340993946,-0.0959909417801045,0.0128092587484937,-0.0140800688206834,0.161705110479149,0.032825272902676,-0.0127311464627812,-0.00699804477182667,-0.000647335413177363,-0.00622069246254921,-0.241358588662239,-0.00570871265945536,-0.0666092596430518,0.023286967207563,-0.0124509185209418,0.017205820139857,-0.00281545943831545,0.0105948449417018,-0.00266774525798625,0.00605905112269394,-0.0140204687881037,-0.0116731493050738
"2112",0.0112220748335471,0.0145240779548347,0.0592454455289658,0.108203252906247,0.0824343542958419,0.00672602020134944,-0.00627175098977253,0.314691942288474,0.11903631942017,-0.0169594891285919,-0.00502847216479611,0.0139851480948807,-0.0169600608631867,-0.00229581013585029,-0.199912772702531,0.126424410869847,0.159454242261231,0.00876816041835485,0.00876816041835485,-0.0962947459240862,0.0127661249125988,-0.0141400921758167,0.161768364971305,0.0328688851520782,-0.0127325573143375,-0.00704794854460424,-0.0006963194787663,-0.00623370395319714,-0.241046867044446,-0.00568492124097499,-0.0668472990715404,0.0230707495116258,-0.0125210328148724,0.0171998767183144,-0.00266424733660344,0.0106525255800827,-0.00256244317670036,0.00618245370433891,-0.0138699251559569,-0.0116969028934427
"2113",0.0111680611573901,0.0144855813822241,0.0592311858792005,0.108212734062135,0.0823878518069318,0.00674787669101778,-0.00622742069215542,0.314775694012316,0.119014518086633,-0.0169332917314659,-0.00507294865795539,0.0140150767828682,-0.0169555614223837,-0.00234733331232962,-0.199911244302405,0.126406939646141,0.159378233038519,0.00877234090416663,0.00877234090416663,-0.09595656875559,0.0127566516186732,-0.0141326535522955,0.161891047796852,0.032930854577715,-0.0127680159531067,-0.00702205839662155,-0.000684906949446384,-0.00625350008588503,-0.240927879816088,-0.005675600423407,-0.0669224541512755,0.0226490612237745,-0.0125224343507201,0.0172065362415505,-0.00246269331494207,0.0106896706633671,-0.00243053659686033,0.00623590580006981,-0.0136907407881777,-0.0117269638239026
"2114",0.0111406453604177,0.014472274126121,0.0592298987113669,0.108263427756819,0.0823787054605287,0.00676852884353423,-0.00619266293301757,0.314855606867096,0.119066608508941,-0.016932270041785,-0.00512014845547751,0.014023203050613,-0.0169333520029986,-0.00241676607927891,-0.199969091606946,0.126426259000047,0.159391151728147,0.00877717153111755,0.00877717153111755,-0.0956116575049378,0.0127450444212516,-0.0140858494693808,0.162084732556069,0.0329970569336138,-0.0127823682133937,-0.00698841494031729,-0.000645009578893231,-0.00626393784150548,-0.240905580756283,-0.0056692228206261,-0.0668931407735101,0.0224739367453491,-0.0124944097321792,0.0172172494807748,-0.00238609010842122,0.0107119281741322,-0.00239840789408425,0.0062191245746251,-0.0136408381537482,-0.0117406134552681
"2115",0.0110927527715013,0.0144416513916445,0.0592190618508496,0.10832018474197,0.0823427233971472,0.00679603347033728,-0.0061590794335958,0.314991891132536,0.119116129800237,-0.0169471271174524,-0.0051846869921666,0.0140305435075532,-0.0168880336308048,-0.0025250347664258,-0.200029803114508,0.126444423198894,0.159422492286567,0.00878467465083915,0.00878467465083915,-0.0950451985261532,0.0127348588159981,-0.0140299801211465,0.162267025242131,0.0330674368272605,-0.0127986001189249,-0.00694294061858499,-0.000596930821139241,-0.00628021567463179,-0.24089603538482,-0.00566474101247457,-0.0668349717419347,0.0221895159613751,-0.0124514582300421,0.0172209246905432,-0.00225714592758305,0.010732927053286,-0.00231745181028568,0.00621581267926921,-0.0135395183265988,-0.0117617323281531
"2116",0.0111359921329367,0.0145023863744468,0.0592186625640707,0.108384523742083,0.0824237313387729,0.00679863562253253,-0.0061334068306728,0.314976580812147,0.119241853404932,-0.0169479242391308,-0.00517935792513998,0.0139944601486431,-0.0168852869730686,-0.00252892349152523,-0.200122930052854,0.126512080053248,0.159514721701503,0.0087852227248783,0.0087852227248783,-0.0951486739909965,0.012704992273948,-0.0139693155036255,0.162545246058133,0.0331334215693962,-0.0127561466856765,-0.00694737079025877,-0.000555987194567776,-0.00626565002596507,-0.240914003158773,-0.00565910583334541,-0.066742424388976,0.0225656470465514,-0.0124310506073119,0.0172343602845946,-0.002425801093201,0.0107412231957382,-0.00247731728396784,0.00612534058962643,-0.0137345797174984,-0.0117351829720709
