ADJUVANT	YEAR	DATE	COUNTY_NAME	COMTRS	SITE_NAME	PRODUCT_NAME	POUNDS_PRODUCT_APPLIED	CHEMICAL_NAME	POUNDS_CHEMICAL_APPLIED	AMOUNT_TREATED	UNIT_TREATED	AERIAL_GROUND_INDICATOR
NO	2012	01-JUL-12	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	7.4321	BIFENTHRIN	.5871359			
NO	2012	01-SEP-12	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	11.1227	BIFENTHRIN	.8786933			
NO	2012	01-FEB-12	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.6081	BIFENTHRIN	.0480399			
NO	2012	01-OCT-12	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	15.3708	BIFENTHRIN	1.2142932			
NO	2012	01-JUN-12	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	13.2426	BIFENTHRIN	1.0461654			
NO	2012	01-DEC-12	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	12.871	BIFENTHRIN	1.016809			
NO	2012	01-SEP-12	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	6.0808	BIFENTHRIN	.4803832			
NO	2012	01-NOV-12	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	4.9997	BIFENTHRIN	.3949763			
NO	2012	01-JUL-12	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	22.1526	BIFENTHRIN	1.7500554			
NO	2012	01-AUG-12	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	14.5938	BIFENTHRIN	1.1529102			
NO	2012	01-JAN-12	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	3.5133	BIFENTHRIN	.2775507			
NO	2012	01-MAY-12	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	6.0132	BIFENTHRIN	.4750428			
NO	2012	01-MAY-12	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN L/P INSECTICIDE GRANULES	1534.2	BIFENTHRIN	3.0684			
NO	2012	01-MAY-12	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN L/P INSECTICIDE GRANULES	.5313	BIFENTHRIN	.0010626			
NO	2012	01-OCT-12	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN L/P INSECTICIDE GRANULES	199.5	BIFENTHRIN	.399			
NO	2012	01-JUN-12	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN L/P INSECTICIDE GRANULES	462.125	BIFENTHRIN	.92425			
NO	2012	01-NOV-12	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN L/P INSECTICIDE GRANULES	38.1563	BIFENTHRIN	.0763126			
NO	2012	01-AUG-12	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN L/P INSECTICIDE GRANULES	1599.925	BIFENTHRIN	3.19985			
NO	2012	01-SEP-12	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN L/P INSECTICIDE GRANULES	850.6	BIFENTHRIN	1.7012			
NO	2012	01-AUG-12	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN L/P INSECTICIDE GRANULES	.25	BIFENTHRIN	.0005			
NO	2012	01-DEC-12	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN L/P INSECTICIDE GRANULES	837.03	BIFENTHRIN	1.67406			
NO	2012	01-JUL-12	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN L/P INSECTICIDE GRANULES	1078.2	BIFENTHRIN	2.1564			
NO	2012	01-JUN-12	PLACER	31	STRUCTURAL PEST CONTROL	BISECT L	.613	BIFENTHRIN	.048427			
NO	2012	01-OCT-12	PLACER	31	STRUCTURAL PEST CONTROL	BISECT L	342.1224	BIFENTHRIN	27.0276696			
NO	2012	01-NOV-12	PLACER	31	STRUCTURAL PEST CONTROL	BISECT L	26.1545	BIFENTHRIN	2.0662055			
NO	2012	01-APR-12	PLACER	31	STRUCTURAL PEST CONTROL	BISECT L	1.7436	BIFENTHRIN	.1377444			
NO	2012	01-JAN-12	PLACER	31	STRUCTURAL PEST CONTROL	BISECT L	34.8727	BIFENTHRIN	2.7549433			
NO	2012	01-JUN-12	PLACER	31	STRUCTURAL PEST CONTROL	BISECT L	34.8727	BIFENTHRIN	2.7549433			
NO	2012	01-NOV-12	PLACER	31	STRUCTURAL PEST CONTROL	BISECT L	300.8507	BIFENTHRIN	23.7672053			
NO	2012	01-NOV-12	PLACER	31	STRUCTURAL PEST CONTROL	BISECT L	.4087	BIFENTHRIN	.0322873			
NO	2012	01-AUG-12	PLACER	31	STRUCTURAL PEST CONTROL	BISECT L	.4087	BIFENTHRIN	.0322873			
NO	2012	01-JUL-12	PLACER	31	STRUCTURAL PEST CONTROL	BISECT L	.8718	BIFENTHRIN	.0688722			
NO	2012	01-JUL-12	PLACER	31	STRUCTURAL PEST CONTROL	BISECT L	78.232	BIFENTHRIN	6.180328			
NO	2012	01-FEB-12	PLACER	31	STRUCTURAL PEST CONTROL	BISECT L	52.3091	BIFENTHRIN	4.1324189			
NO	2012	01-SEP-12	PLACER	31	STRUCTURAL PEST CONTROL	BISECT L	.8718	BIFENTHRIN	.0688722			
NO	2012	01-SEP-12	PLACER	31	STRUCTURAL PEST CONTROL	BISECT L	362.4651	BIFENTHRIN	28.6347429			
NO	2012	01-NOV-12	PLACER	31	STRUCTURAL PEST CONTROL	BISECT L	.6975	BIFENTHRIN	.0551025			
NO	2012	01-DEC-12	PLACER	31	STRUCTURAL PEST CONTROL	BISECT L	34.8727	BIFENTHRIN	2.7549433			
NO	2012	01-MAY-12	PLACER	31	STRUCTURAL PEST CONTROL	BISECT L	.4768	BIFENTHRIN	.0376672			
NO	2012	01-APR-12	PLACER	31	STRUCTURAL PEST CONTROL	BISECT L	26.1545	BIFENTHRIN	2.0662055			
NO	2012	01-DEC-12	PLACER	31	STRUCTURAL PEST CONTROL	BISECT L	333.9919	BIFENTHRIN	26.3853601			
NO	2012	01-MAR-12	PLACER	31	STRUCTURAL PEST CONTROL	BISECT L	1.7709	BIFENTHRIN	.1399011			
NO	2012	01-APR-12	PLACER	31	STRUCTURAL PEST CONTROL	BISECT L	.4087	BIFENTHRIN	.0322873			
NO	2012	01-JUL-12	PLACER	31	STRUCTURAL PEST CONTROL	BISECT L	.8854	BIFENTHRIN	.0699466			
NO	2012	01-MAR-12	PLACER	31	STRUCTURAL PEST CONTROL	BISECT L	.8718	BIFENTHRIN	.0688722			
NO	2012	01-OCT-12	PLACER	31	STRUCTURAL PEST CONTROL	BISECT L	.8718	BIFENTHRIN	.0688722			
NO	2012	01-AUG-12	PLACER	31	STRUCTURAL PEST CONTROL	BISECT L	8.7182	BIFENTHRIN	.6887378			
NO	2012	01-SEP-12	PLACER	31	STRUCTURAL PEST CONTROL	BISECT L	52.3091	BIFENTHRIN	4.1324189			
NO	2012	01-MAY-12	PLACER	31	STRUCTURAL PEST CONTROL	BISECT L	.8718	BIFENTHRIN	.0688722			
NO	2012	01-AUG-12	PLACER	31	STRUCTURAL PEST CONTROL	BISECT L	221.1747	BIFENTHRIN	17.4728013			
NO	2012	01-NOV-12	PLACER	31	STRUCTURAL PEST CONTROL	LESCO CROSSCHECK EZ GRANULAR INSECTICIDE	1.0938	BIFENTHRIN	.0021876			
NO	2012	01-OCT-12	PLACER	31	STRUCTURAL PEST CONTROL	LESCO CROSSCHECK EZ GRANULAR INSECTICIDE	45	BIFENTHRIN	.09			
NO	2012	01-DEC-12	PLACER	31	STRUCTURAL PEST CONTROL	LESCO CROSSCHECK EZ GRANULAR INSECTICIDE	23	BIFENTHRIN	.046			
NO	2012	01-FEB-12	PLACER	31	STRUCTURAL PEST CONTROL	LESCO CROSSCHECK EZ GRANULAR INSECTICIDE	56	BIFENTHRIN	.112			
NO	2012	01-JAN-12	PLACER	31	STRUCTURAL PEST CONTROL	LESCO CROSSCHECK EZ GRANULAR INSECTICIDE	11	BIFENTHRIN	.022			
NO	2012	01-SEP-12	PLACER	31	STRUCTURAL PEST CONTROL	LESCO CROSSCHECK EZ GRANULAR INSECTICIDE	.0176	BIFENTHRIN	.0000352			
NO	2012	01-SEP-12	PLACER	31	STRUCTURAL PEST CONTROL	LESCO CROSSCHECK EZ GRANULAR INSECTICIDE	.9063	BIFENTHRIN	.0018126			
NO	2012	01-JAN-12	PLACER	31	STRUCTURAL PEST CONTROL	LESCO CROSSCHECK EZ GRANULAR INSECTICIDE	.0276	BIFENTHRIN	.0000552			
NO	2012	01-MAR-12	PLACER	31	STRUCTURAL PEST CONTROL	LESCO CROSSCHECK EZ GRANULAR INSECTICIDE	36	BIFENTHRIN	.072			
NO	2012	01-MAY-12	PLACER	31	STRUCTURAL PEST CONTROL	LESCO CROSSCHECK EZ GRANULAR INSECTICIDE	.7813	BIFENTHRIN	.0015626			
