"","YYYY.1","MM.1","DD.1","RUNF0.1","ESLS0.1","RFLX1.1","EFLX1.1","DCON1.1","INFL0.1","YYYY.2","MM.2","DD.2","RUNF0.2","ESLS0.2","RFLX1.2","EFLX1.2","DCON1.2","INFL0.2","YYYY.3","MM.3","DD.3","RUNF0.3","ESLS0.3","RFLX1.3","EFLX1.3","DCON1.3","INFL0.3","YYYY.4","MM.4","DD.4","RUNF0.4","ESLS0.4","RFLX1.4","EFLX1.4","DCON1.4","INFL0.4","YYYY.5","MM.5","DD.5","RUNF0.5","ESLS0.5","RFLX1.5","EFLX1.5","DCON1.5","INFL0.5","YYYY.6","MM.6","DD.6","RUNF0.6","ESLS0.6","RFLX1.6","EFLX1.6","DCON1.6","INFL0.6","YYYY.7","MM.7","DD.7","RUNF0.7","ESLS0.7","RFLX1.7","EFLX1.7","DCON1.7","INFL0.7","YYYY.8","MM.8","DD.8","RUNF0.8","ESLS0.8","RFLX1.8","EFLX1.8","DCON1.8","INFL0.8"
"60",1999,3,1,0,0,0,0,1.5671e-26,5.2661,1999,3,1,0,0,0,0,1.5725e-33,0,1999,3,1,0,0,0,0,1.413e-28,1.534,1999,3,1,0,0,0,0,2.05e-32,0,1999,3,1,0,0,0,0,1.1667e-28,0,1999,3,1,0,0,0,0,3.3433e-30,0,1999,3,1,0,0,0,0,2.9493e-28,0,1999,3,1,0,0,0,0,1.9744e-26,0
"61",1999,3,2,0,0,0,0,1.4758e-26,5.2661,1999,3,2,0,0,0,0,1.4343e-33,0,1999,3,2,0,0,0,0,1.3441e-28,1.534,1999,3,2,0,0,0,0,1.9038e-32,0,1999,3,2,0,0,0,0,1.1255e-28,0,1999,3,2,0,0,0,0,3.3067e-30,0,1999,3,2,0,0,0,0,2.7117e-28,0,1999,3,2,0,0,0,0,1.9334e-26,0
"62",1999,3,3,0,0,0,0,1.776e-26,5.4614,1999,3,3,0,0,0,0,1.3083e-33,0,1999,3,3,0,0,0,0,1.2786e-28,1.534,1999,3,3,0,0,0,0,1.768e-32,0,1999,3,3,0,0,0,0,1.0857e-28,0,1999,3,3,0,0,0,0,3.2705e-30,0,1999,3,3,0,0,0,0,2.4932e-28,0,1999,3,3,0,0,0,0,1.8932e-26,0
"63",1999,3,4,0,0,0,0,1.6726e-26,5.4614,1999,3,4,0,0,0,0,1.1933e-33,0,1999,3,4,0,0,0,0,1.2162e-28,1.534,1999,3,4,0,0,0,0,1.6419e-32,0,1999,3,4,0,0,0,0,1.0473e-28,0,1999,3,4,0,0,0,0,3.2347e-30,0,1999,3,4,0,0,0,0,2.2923e-28,0,1999,3,4,0,0,0,0,1.8539e-26,0
"64",1999,3,5,0,0,0,0,1.5752e-26,5.4614,1999,3,5,0,0,0,0,1.0884e-33,0,1999,3,5,0,0,0,0,1.1569e-28,1.534,1999,3,5,0,0,0,0,1.5248e-32,0,1999,3,5,0,0,0,0,1.0103e-28,0,1999,3,5,0,0,0,0,3.1994e-30,0,1999,3,5,0,0,0,0,2.1076e-28,0,1999,3,5,0,0,0,0,1.8154e-26,0
"65",1999,3,6,0,0,0,0,1.4834e-26,5.4614,1999,3,6,0,0,0,0,9.9272e-34,0,1999,3,6,0,0,0,0,1.1005e-28,1.534,1999,3,6,0,0,0,0,1.416e-32,0,1999,3,6,0,0,0,0,9.7454e-29,0,1999,3,6,0,0,0,0,3.1644e-30,0,1999,3,6,0,0,0,0,1.9378e-28,0,1999,3,6,0,0,0,0,1.7776e-26,0
"66",1999,3,7,0,0,0,0,1.3971e-26,5.4614,1999,3,7,0,0,0,0,9.0547e-34,0,1999,3,7,0,0,0,0,1.0468e-28,1.534,1999,3,7,0,0,0,0,1.315e-32,0,1999,3,7,0,0,0,0,9.4008e-29,0,1999,3,7,0,0,0,0,3.1297e-30,0,1999,3,7,0,0,0,0,1.7817e-28,0,1999,3,7,0,0,0,0,1.7407e-26,0
"67",1999,3,8,0,0,0,0,1.3157e-26,5.4614,1999,3,8,0,0,0,0,8.2588e-34,0,1999,3,8,0,0,0,0,9.9576e-29,1.534,1999,3,8,0,0,0,0,1.2212e-32,0,1999,3,8,0,0,0,0,9.0684e-29,0,1999,3,8,0,0,0,0,3.0955e-30,0,1999,3,8,0,0,0,0,1.6381e-28,0,1999,3,8,0,0,0,0,1.7045e-26,0
"68",1999,3,9,0,0,0,0,1.3313e-26,5.5236,1999,3,9,0,0,0,0,7.7268e-34,0,1999,3,9,0,0,0,0,9.4719e-29,1.534,1999,3,9,0,0,0,0,1.1341e-32,0,1999,3,9,0,0,0,0,8.7477e-29,0,1999,3,9,0,0,0,0,3.0616e-30,0,1999,3,9,0,0,0,0,1.6701e-28,0,1999,3,9,0,0,0,0,1.7903e-26,0
"69",1999,3,10,0,0,0,0,1.2537e-26,5.5236,1999,3,10,0,0,0,0,7.0476e-34,0,1999,3,10,0,0,0,0,9.01e-29,1.534,1999,3,10,0,0,0,0,1.0532e-32,0,1999,3,10,0,0,0,0,8.4384e-29,0,1999,3,10,0,0,0,0,3.0281e-30,0,1999,3,10,0,0,0,0,1.5356e-28,0,1999,3,10,0,0,0,0,1.7531e-26,0
