"","x"
"151",1999-05-31
"152",1999-06-01
"153",1999-06-02
"154",1999-06-03
"155",1999-06-04
"156",1999-06-05
"157",1999-06-06
"158",1999-06-07
"159",1999-06-08
"160",1999-06-09
"161",1999-06-10
"162",1999-06-11
"163",1999-06-12
"164",1999-06-13
"165",1999-06-14
"166",1999-06-15
"167",1999-06-16
"168",1999-06-17
"169",1999-06-18
"170",1999-06-19
"171",1999-06-20
"172",1999-06-21
"173",1999-06-22
"174",1999-06-23
"175",1999-06-24
"176",1999-06-25
"177",1999-06-26
"178",1999-06-27
"179",1999-06-28
"180",1999-06-29
"181",1999-06-30
"182",1999-07-01
"183",1999-07-02
"184",1999-07-03
"185",1999-07-04
"186",1999-07-05
"187",1999-07-06
"188",1999-07-07
"189",1999-07-08
"190",1999-07-09
"191",1999-07-10
"192",1999-07-11
"193",1999-07-12
"194",1999-07-13
"195",1999-07-14
"196",1999-07-15
"197",1999-07-16
"198",1999-07-17
"199",1999-07-18
"200",1999-07-19
"201",1999-07-20
"202",1999-07-21
"203",1999-07-22
"204",1999-07-23
"205",1999-07-24
"206",1999-07-25
"207",1999-07-26
"208",1999-07-27
"209",1999-07-28
"210",1999-07-29
"211",1999-07-30
"212",1999-07-31
"213",1999-08-01
"214",1999-08-02
"215",1999-08-03
"216",1999-08-04
"217",1999-08-05
"218",1999-08-06
"219",1999-08-07
"220",1999-08-08
"221",1999-08-09
"222",1999-08-10
"223",1999-08-11
"224",1999-08-12
"225",1999-08-13
"226",1999-08-14
"227",1999-08-15
"228",1999-08-16
"229",1999-08-17
"230",1999-08-18
"231",1999-08-19
"232",1999-08-20
"233",1999-08-21
"234",1999-08-22
"235",1999-08-23
"236",1999-08-24
"237",1999-08-25
"238",1999-08-26
"239",1999-08-27
"240",1999-08-28
"241",1999-08-29
"242",1999-08-30
"243",1999-08-31
"244",1999-09-01
"245",1999-09-02
"246",1999-09-03
"247",1999-09-04
"248",1999-09-05
"249",1999-09-06
"250",1999-09-07
"251",1999-09-08
"252",1999-09-09
"253",1999-09-10
"254",1999-09-11
"255",1999-09-12
"256",1999-09-13
"257",1999-09-14
"258",1999-09-15
"259",1999-09-16
"260",1999-09-17
"261",1999-09-18
"262",1999-09-19
"263",1999-09-20
"264",1999-09-21
"265",1999-09-22
"266",1999-09-23
"267",1999-09-24
"268",1999-09-25
"269",1999-09-26
"270",1999-09-27
"271",1999-09-28
"272",1999-09-29
"273",1999-09-30
"274",1999-10-01
"275",1999-10-02
"276",1999-10-03
"277",1999-10-04
"278",1999-10-05
"279",1999-10-06
"280",1999-10-07
"281",1999-10-08
"282",1999-10-09
"283",1999-10-10
"284",1999-10-11
"285",1999-10-12
"286",1999-10-13
"287",1999-10-14
"288",1999-10-15
"289",1999-10-16
"290",1999-10-17
"291",1999-10-18
"292",1999-10-19
"293",1999-10-20
"294",1999-10-21
"295",1999-10-22
"296",1999-10-23
"297",1999-10-24
"298",1999-10-25
"299",1999-10-26
"300",1999-10-27
"301",1999-10-28
"302",1999-10-29
"303",1999-10-30
"304",1999-10-31
"305",1999-11-01
"306",1999-11-02
"307",1999-11-03
"308",1999-11-04
"309",1999-11-05
"310",1999-11-06
"311",1999-11-07
"312",1999-11-08
"313",1999-11-09
"314",1999-11-10
"315",1999-11-11
"316",1999-11-12
"317",1999-11-13
"318",1999-11-14
"319",1999-11-15
"320",1999-11-16
"321",1999-11-17
"322",1999-11-18
"323",1999-11-19
"324",1999-11-20
"325",1999-11-21
"326",1999-11-22
"327",1999-11-23
"328",1999-11-24
"329",1999-11-25
"330",1999-11-26
"331",1999-11-27
"332",1999-11-28
"333",1999-11-29
"334",1999-11-30
"335",1999-12-01
"336",1999-12-02
"337",1999-12-03
"338",1999-12-04
"339",1999-12-05
"340",1999-12-06
"341",1999-12-07
"342",1999-12-08
"343",1999-12-09
"344",1999-12-10
"345",1999-12-11
"346",1999-12-12
"347",1999-12-13
"348",1999-12-14
"349",1999-12-15
"350",1999-12-16
"351",1999-12-17
"352",1999-12-18
"353",1999-12-19
"354",1999-12-20
"355",1999-12-21
"356",1999-12-22
"357",1999-12-23
"358",1999-12-24
"359",1999-12-25
"360",1999-12-26
"361",1999-12-27
"362",1999-12-28
"363",1999-12-29
"364",1999-12-30
"365",1999-12-31
"366",2000-01-01
"367",2000-01-02
"368",2000-01-03
"369",2000-01-04
"370",2000-01-05
"371",2000-01-06
"372",2000-01-07
"373",2000-01-08
"374",2000-01-09
"375",2000-01-10
"376",2000-01-11
"377",2000-01-12
"378",2000-01-13
"379",2000-01-14
"380",2000-01-15
"381",2000-01-16
"382",2000-01-17
"383",2000-01-18
"384",2000-01-19
"385",2000-01-20
"386",2000-01-21
"387",2000-01-22
"388",2000-01-23
"389",2000-01-24
"390",2000-01-25
"391",2000-01-26
"392",2000-01-27
"393",2000-01-28
"394",2000-01-29
"395",2000-01-30
"396",2000-01-31
"397",2000-02-01
"398",2000-02-02
"399",2000-02-03
"400",2000-02-04
"401",2000-02-05
"402",2000-02-06
"403",2000-02-07
"404",2000-02-08
"405",2000-02-09
"406",2000-02-10
"407",2000-02-11
"408",2000-02-12
"409",2000-02-13
"410",2000-02-14
"411",2000-02-15
"412",2000-02-16
"413",2000-02-17
"414",2000-02-18
"415",2000-02-19
"416",2000-02-20
"417",2000-02-21
"418",2000-02-22
"419",2000-02-23
"420",2000-02-24
"421",2000-02-25
"422",2000-02-26
"423",2000-02-27
"424",2000-02-28
"425",2000-02-29
"426",2000-03-01
"427",2000-03-02
"428",2000-03-03
"429",2000-03-04
"430",2000-03-05
"431",2000-03-06
"432",2000-03-07
"433",2000-03-08
"434",2000-03-09
"435",2000-03-10
"436",2000-03-11
"437",2000-03-12
"438",2000-03-13
"439",2000-03-14
"440",2000-03-15
"441",2000-03-16
"442",2000-03-17
"443",2000-03-18
"444",2000-03-19
"445",2000-03-20
"446",2000-03-21
"447",2000-03-22
"448",2000-03-23
"449",2000-03-24
"450",2000-03-25
"451",2000-03-26
"452",2000-03-27
"453",2000-03-28
"454",2000-03-29
"455",2000-03-30
"456",2000-03-31
"457",2000-04-01
"458",2000-04-02
"459",2000-04-03
"460",2000-04-04
"461",2000-04-05
"462",2000-04-06
"463",2000-04-07
"464",2000-04-08
"465",2000-04-09
"466",2000-04-10
"467",2000-04-11
"468",2000-04-12
"469",2000-04-13
"470",2000-04-14
"471",2000-04-15
"472",2000-04-16
"473",2000-04-17
"474",2000-04-18
"475",2000-04-19
"476",2000-04-20
"477",2000-04-21
"478",2000-04-22
"479",2000-04-23
"480",2000-04-24
"481",2000-04-25
"482",2000-04-26
"483",2000-04-27
"484",2000-04-28
"485",2000-04-29
"486",2000-04-30
"487",2000-05-01
"488",2000-05-02
"489",2000-05-03
"490",2000-05-04
"491",2000-05-05
"492",2000-05-06
"493",2000-05-07
"494",2000-05-08
"495",2000-05-09
"496",2000-05-10
"497",2000-05-11
"498",2000-05-12
"499",2000-05-13
"500",2000-05-14
"501",2000-05-15
"502",2000-05-16
"503",2000-05-17
"504",2000-05-18
"505",2000-05-19
"506",2000-05-20
"507",2000-05-21
"508",2000-05-22
"509",2000-05-23
"510",2000-05-24
"511",2000-05-25
"512",2000-05-26
"513",2000-05-27
"514",2000-05-28
"515",2000-05-29
"516",2000-05-30
"517",2000-05-31
"518",2000-06-01
"519",2000-06-02
"520",2000-06-03
"521",2000-06-04
"522",2000-06-05
"523",2000-06-06
"524",2000-06-07
"525",2000-06-08
"526",2000-06-09
"527",2000-06-10
"528",2000-06-11
"529",2000-06-12
"530",2000-06-13
"531",2000-06-14
"532",2000-06-15
"533",2000-06-16
"534",2000-06-17
"535",2000-06-18
"536",2000-06-19
"537",2000-06-20
"538",2000-06-21
"539",2000-06-22
"540",2000-06-23
"541",2000-06-24
"542",2000-06-25
"543",2000-06-26
"544",2000-06-27
"545",2000-06-28
"546",2000-06-29
"547",2000-06-30
"548",2000-07-01
"549",2000-07-02
"550",2000-07-03
"551",2000-07-04
"552",2000-07-05
"553",2000-07-06
"554",2000-07-07
"555",2000-07-08
"556",2000-07-09
"557",2000-07-10
"558",2000-07-11
"559",2000-07-12
"560",2000-07-13
"561",2000-07-14
"562",2000-07-15
"563",2000-07-16
"564",2000-07-17
"565",2000-07-18
"566",2000-07-19
"567",2000-07-20
"568",2000-07-21
"569",2000-07-22
"570",2000-07-23
"571",2000-07-24
"572",2000-07-25
"573",2000-07-26
"574",2000-07-27
"575",2000-07-28
"576",2000-07-29
"577",2000-07-30
"578",2000-07-31
"579",2000-08-01
"580",2000-08-02
"581",2000-08-03
"582",2000-08-04
"583",2000-08-05
"584",2000-08-06
"585",2000-08-07
"586",2000-08-08
"587",2000-08-09
"588",2000-08-10
"589",2000-08-11
"590",2000-08-12
"591",2000-08-13
"592",2000-08-14
"593",2000-08-15
"594",2000-08-16
"595",2000-08-17
"596",2000-08-18
"597",2000-08-19
"598",2000-08-20
"599",2000-08-21
"600",2000-08-22
"601",2000-08-23
"602",2000-08-24
"603",2000-08-25
"604",2000-08-26
"605",2000-08-27
"606",2000-08-28
"607",2000-08-29
"608",2000-08-30
"609",2000-08-31
"610",2000-09-01
"611",2000-09-02
"612",2000-09-03
"613",2000-09-04
"614",2000-09-05
"615",2000-09-06
"616",2000-09-07
"617",2000-09-08
"618",2000-09-09
"619",2000-09-10
"620",2000-09-11
"621",2000-09-12
"622",2000-09-13
"623",2000-09-14
"624",2000-09-15
"625",2000-09-16
"626",2000-09-17
"627",2000-09-18
"628",2000-09-19
"629",2000-09-20
"630",2000-09-21
"631",2000-09-22
"632",2000-09-23
"633",2000-09-24
"634",2000-09-25
"635",2000-09-26
"636",2000-09-27
"637",2000-09-28
"638",2000-09-29
"639",2000-09-30
"640",2000-10-01
"641",2000-10-02
"642",2000-10-03
"643",2000-10-04
"644",2000-10-05
"645",2000-10-06
"646",2000-10-07
"647",2000-10-08
"648",2000-10-09
"649",2000-10-10
"650",2000-10-11
"651",2000-10-12
"652",2000-10-13
"653",2000-10-14
"654",2000-10-15
"655",2000-10-16
"656",2000-10-17
"657",2000-10-18
"658",2000-10-19
"659",2000-10-20
"660",2000-10-21
"661",2000-10-22
"662",2000-10-23
"663",2000-10-24
"664",2000-10-25
"665",2000-10-26
"666",2000-10-27
"667",2000-10-28
"668",2000-10-29
"669",2000-10-30
"670",2000-10-31
"671",2000-11-01
"672",2000-11-02
"673",2000-11-03
"674",2000-11-04
"675",2000-11-05
"676",2000-11-06
"677",2000-11-07
"678",2000-11-08
"679",2000-11-09
"680",2000-11-10
"681",2000-11-11
"682",2000-11-12
"683",2000-11-13
"684",2000-11-14
"685",2000-11-15
"686",2000-11-16
"687",2000-11-17
"688",2000-11-18
"689",2000-11-19
"690",2000-11-20
"691",2000-11-21
"692",2000-11-22
"693",2000-11-23
"694",2000-11-24
"695",2000-11-25
"696",2000-11-26
"697",2000-11-27
"698",2000-11-28
"699",2000-11-29
"700",2000-11-30
"701",2000-12-01
"702",2000-12-02
"703",2000-12-03
"704",2000-12-04
"705",2000-12-05
"706",2000-12-06
"707",2000-12-07
"708",2000-12-08
"709",2000-12-09
"710",2000-12-10
"711",2000-12-11
"712",2000-12-12
"713",2000-12-13
"714",2000-12-14
"715",2000-12-15
"716",2000-12-16
"717",2000-12-17
"718",2000-12-18
"719",2000-12-19
"720",2000-12-20
"721",2000-12-21
"722",2000-12-22
"723",2000-12-23
"724",2000-12-24
"725",2000-12-25
"726",2000-12-26
"727",2000-12-27
"728",2000-12-28
"729",2000-12-29
"730",2000-12-30
"731",2000-12-31
"732",2001-01-01
"733",2001-01-02
"734",2001-01-03
"735",2001-01-04
"736",2001-01-05
"737",2001-01-06
"738",2001-01-07
"739",2001-01-08
"740",2001-01-09
"741",2001-01-10
"742",2001-01-11
"743",2001-01-12
"744",2001-01-13
"745",2001-01-14
"746",2001-01-15
"747",2001-01-16
"748",2001-01-17
"749",2001-01-18
"750",2001-01-19
"751",2001-01-20
"752",2001-01-21
"753",2001-01-22
"754",2001-01-23
"755",2001-01-24
"756",2001-01-25
"757",2001-01-26
"758",2001-01-27
"759",2001-01-28
"760",2001-01-29
"761",2001-01-30
"762",2001-01-31
"763",2001-02-01
"764",2001-02-02
"765",2001-02-03
"766",2001-02-04
"767",2001-02-05
"768",2001-02-06
"769",2001-02-07
"770",2001-02-08
"771",2001-02-09
"772",2001-02-10
"773",2001-02-11
"774",2001-02-12
"775",2001-02-13
"776",2001-02-14
"777",2001-02-15
"778",2001-02-16
"779",2001-02-17
"780",2001-02-18
"781",2001-02-19
"782",2001-02-20
"783",2001-02-21
"784",2001-02-22
"785",2001-02-23
"786",2001-02-24
"787",2001-02-25
"788",2001-02-26
"789",2001-02-27
"790",2001-02-28
"791",2001-03-01
"792",2001-03-02
"793",2001-03-03
"794",2001-03-04
"795",2001-03-05
"796",2001-03-06
"797",2001-03-07
"798",2001-03-08
"799",2001-03-09
"800",2001-03-10
"801",2001-03-11
"802",2001-03-12
"803",2001-03-13
"804",2001-03-14
"805",2001-03-15
"806",2001-03-16
"807",2001-03-17
"808",2001-03-18
"809",2001-03-19
"810",2001-03-20
"811",2001-03-21
"812",2001-03-22
"813",2001-03-23
"814",2001-03-24
"815",2001-03-25
"816",2001-03-26
"817",2001-03-27
"818",2001-03-28
"819",2001-03-29
"820",2001-03-30
"821",2001-03-31
"822",2001-04-01
"823",2001-04-02
"824",2001-04-03
"825",2001-04-04
"826",2001-04-05
"827",2001-04-06
"828",2001-04-07
"829",2001-04-08
"830",2001-04-09
"831",2001-04-10
"832",2001-04-11
"833",2001-04-12
"834",2001-04-13
"835",2001-04-14
"836",2001-04-15
"837",2001-04-16
"838",2001-04-17
"839",2001-04-18
"840",2001-04-19
"841",2001-04-20
"842",2001-04-21
"843",2001-04-22
"844",2001-04-23
"845",2001-04-24
"846",2001-04-25
"847",2001-04-26
"848",2001-04-27
"849",2001-04-28
"850",2001-04-29
"851",2001-04-30
"852",2001-05-01
"853",2001-05-02
"854",2001-05-03
"855",2001-05-04
"856",2001-05-05
"857",2001-05-06
"858",2001-05-07
"859",2001-05-08
"860",2001-05-09
"861",2001-05-10
"862",2001-05-11
"863",2001-05-12
"864",2001-05-13
"865",2001-05-14
"866",2001-05-15
"867",2001-05-16
"868",2001-05-17
"869",2001-05-18
"870",2001-05-19
"871",2001-05-20
"872",2001-05-21
"873",2001-05-22
"874",2001-05-23
"875",2001-05-24
"876",2001-05-25
"877",2001-05-26
"878",2001-05-27
"879",2001-05-28
"880",2001-05-29
"881",2001-05-30
"882",2001-05-31
"883",2001-06-01
"884",2001-06-02
"885",2001-06-03
"886",2001-06-04
"887",2001-06-05
"888",2001-06-06
"889",2001-06-07
"890",2001-06-08
"891",2001-06-09
"892",2001-06-10
"893",2001-06-11
"894",2001-06-12
"895",2001-06-13
"896",2001-06-14
"897",2001-06-15
"898",2001-06-16
"899",2001-06-17
"900",2001-06-18
"901",2001-06-19
"902",2001-06-20
"903",2001-06-21
"904",2001-06-22
"905",2001-06-23
"906",2001-06-24
"907",2001-06-25
"908",2001-06-26
"909",2001-06-27
"910",2001-06-28
"911",2001-06-29
"912",2001-06-30
"913",2001-07-01
"914",2001-07-02
"915",2001-07-03
"916",2001-07-04
"917",2001-07-05
"918",2001-07-06
"919",2001-07-07
"920",2001-07-08
"921",2001-07-09
"922",2001-07-10
"923",2001-07-11
"924",2001-07-12
"925",2001-07-13
"926",2001-07-14
"927",2001-07-15
"928",2001-07-16
"929",2001-07-17
"930",2001-07-18
"931",2001-07-19
"932",2001-07-20
"933",2001-07-21
"934",2001-07-22
"935",2001-07-23
"936",2001-07-24
"937",2001-07-25
"938",2001-07-26
"939",2001-07-27
"940",2001-07-28
"941",2001-07-29
"942",2001-07-30
"943",2001-07-31
"944",2001-08-01
"945",2001-08-02
"946",2001-08-03
"947",2001-08-04
"948",2001-08-05
"949",2001-08-06
"950",2001-08-07
"951",2001-08-08
"952",2001-08-09
"953",2001-08-10
"954",2001-08-11
"955",2001-08-12
"956",2001-08-13
"957",2001-08-14
"958",2001-08-15
"959",2001-08-16
"960",2001-08-17
"961",2001-08-18
"962",2001-08-19
"963",2001-08-20
"964",2001-08-21
"965",2001-08-22
"966",2001-08-23
"967",2001-08-24
"968",2001-08-25
"969",2001-08-26
"970",2001-08-27
"971",2001-08-28
"972",2001-08-29
"973",2001-08-30
"974",2001-08-31
"975",2001-09-01
"976",2001-09-02
"977",2001-09-03
"978",2001-09-04
"979",2001-09-05
"980",2001-09-06
"981",2001-09-07
"982",2001-09-08
"983",2001-09-09
"984",2001-09-10
"985",2001-09-11
"986",2001-09-12
"987",2001-09-13
"988",2001-09-14
"989",2001-09-15
"990",2001-09-16
"991",2001-09-17
"992",2001-09-18
"993",2001-09-19
"994",2001-09-20
"995",2001-09-21
"996",2001-09-22
"997",2001-09-23
"998",2001-09-24
"999",2001-09-25
"1000",2001-09-26
"1001",2001-09-27
"1002",2001-09-28
"1003",2001-09-29
"1004",2001-09-30
"1005",2001-10-01
"1006",2001-10-02
"1007",2001-10-03
"1008",2001-10-04
"1009",2001-10-05
"1010",2001-10-06
"1011",2001-10-07
"1012",2001-10-08
"1013",2001-10-09
"1014",2001-10-10
"1015",2001-10-11
"1016",2001-10-12
"1017",2001-10-13
"1018",2001-10-14
"1019",2001-10-15
"1020",2001-10-16
"1021",2001-10-17
"1022",2001-10-18
"1023",2001-10-19
"1024",2001-10-20
"1025",2001-10-21
"1026",2001-10-22
"1027",2001-10-23
"1028",2001-10-24
"1029",2001-10-25
"1030",2001-10-26
"1031",2001-10-27
"1032",2001-10-28
"1033",2001-10-29
"1034",2001-10-30
"1035",2001-10-31
"1036",2001-11-01
"1037",2001-11-02
"1038",2001-11-03
"1039",2001-11-04
"1040",2001-11-05
"1041",2001-11-06
"1042",2001-11-07
"1043",2001-11-08
"1044",2001-11-09
"1045",2001-11-10
"1046",2001-11-11
"1047",2001-11-12
"1048",2001-11-13
"1049",2001-11-14
"1050",2001-11-15
"1051",2001-11-16
"1052",2001-11-17
"1053",2001-11-18
"1054",2001-11-19
"1055",2001-11-20
"1056",2001-11-21
"1057",2001-11-22
"1058",2001-11-23
"1059",2001-11-24
"1060",2001-11-25
"1061",2001-11-26
"1062",2001-11-27
"1063",2001-11-28
"1064",2001-11-29
"1065",2001-11-30
"1066",2001-12-01
"1067",2001-12-02
"1068",2001-12-03
"1069",2001-12-04
"1070",2001-12-05
"1071",2001-12-06
"1072",2001-12-07
"1073",2001-12-08
"1074",2001-12-09
"1075",2001-12-10
"1076",2001-12-11
"1077",2001-12-12
"1078",2001-12-13
"1079",2001-12-14
"1080",2001-12-15
"1081",2001-12-16
"1082",2001-12-17
"1083",2001-12-18
"1084",2001-12-19
"1085",2001-12-20
"1086",2001-12-21
"1087",2001-12-22
"1088",2001-12-23
"1089",2001-12-24
"1090",2001-12-25
"1091",2001-12-26
"1092",2001-12-27
"1093",2001-12-28
"1094",2001-12-29
"1095",2001-12-30
"1096",2001-12-31
"1097",2002-01-01
"1098",2002-01-02
"1099",2002-01-03
"1100",2002-01-04
"1101",2002-01-05
"1102",2002-01-06
"1103",2002-01-07
"1104",2002-01-08
"1105",2002-01-09
"1106",2002-01-10
"1107",2002-01-11
"1108",2002-01-12
"1109",2002-01-13
"1110",2002-01-14
"1111",2002-01-15
"1112",2002-01-16
"1113",2002-01-17
"1114",2002-01-18
"1115",2002-01-19
"1116",2002-01-20
"1117",2002-01-21
"1118",2002-01-22
"1119",2002-01-23
"1120",2002-01-24
"1121",2002-01-25
"1122",2002-01-26
"1123",2002-01-27
"1124",2002-01-28
"1125",2002-01-29
"1126",2002-01-30
"1127",2002-01-31
"1128",2002-02-01
"1129",2002-02-02
"1130",2002-02-03
"1131",2002-02-04
"1132",2002-02-05
"1133",2002-02-06
"1134",2002-02-07
"1135",2002-02-08
"1136",2002-02-09
"1137",2002-02-10
"1138",2002-02-11
"1139",2002-02-12
"1140",2002-02-13
"1141",2002-02-14
"1142",2002-02-15
"1143",2002-02-16
"1144",2002-02-17
"1145",2002-02-18
"1146",2002-02-19
"1147",2002-02-20
"1148",2002-02-21
"1149",2002-02-22
"1150",2002-02-23
"1151",2002-02-24
"1152",2002-02-25
"1153",2002-02-26
"1154",2002-02-27
"1155",2002-02-28
"1156",2002-03-01
"1157",2002-03-02
"1158",2002-03-03
"1159",2002-03-04
"1160",2002-03-05
"1161",2002-03-06
"1162",2002-03-07
"1163",2002-03-08
"1164",2002-03-09
"1165",2002-03-10
"1166",2002-03-11
"1167",2002-03-12
"1168",2002-03-13
"1169",2002-03-14
"1170",2002-03-15
"1171",2002-03-16
"1172",2002-03-17
"1173",2002-03-18
"1174",2002-03-19
"1175",2002-03-20
"1176",2002-03-21
"1177",2002-03-22
"1178",2002-03-23
"1179",2002-03-24
"1180",2002-03-25
"1181",2002-03-26
"1182",2002-03-27
"1183",2002-03-28
"1184",2002-03-29
"1185",2002-03-30
"1186",2002-03-31
"1187",2002-04-01
"1188",2002-04-02
"1189",2002-04-03
"1190",2002-04-04
"1191",2002-04-05
"1192",2002-04-06
"1193",2002-04-07
"1194",2002-04-08
"1195",2002-04-09
"1196",2002-04-10
"1197",2002-04-11
"1198",2002-04-12
"1199",2002-04-13
"1200",2002-04-14
"1201",2002-04-15
"1202",2002-04-16
"1203",2002-04-17
"1204",2002-04-18
"1205",2002-04-19
"1206",2002-04-20
"1207",2002-04-21
"1208",2002-04-22
"1209",2002-04-23
"1210",2002-04-24
"1211",2002-04-25
"1212",2002-04-26
"1213",2002-04-27
"1214",2002-04-28
"1215",2002-04-29
"1216",2002-04-30
"1217",2002-05-01
"1218",2002-05-02
"1219",2002-05-03
"1220",2002-05-04
"1221",2002-05-05
"1222",2002-05-06
"1223",2002-05-07
"1224",2002-05-08
"1225",2002-05-09
"1226",2002-05-10
"1227",2002-05-11
"1228",2002-05-12
"1229",2002-05-13
"1230",2002-05-14
"1231",2002-05-15
"1232",2002-05-16
"1233",2002-05-17
"1234",2002-05-18
"1235",2002-05-19
"1236",2002-05-20
"1237",2002-05-21
"1238",2002-05-22
"1239",2002-05-23
"1240",2002-05-24
"1241",2002-05-25
"1242",2002-05-26
"1243",2002-05-27
"1244",2002-05-28
"1245",2002-05-29
"1246",2002-05-30
"1247",2002-05-31
"1248",2002-06-01
"1249",2002-06-02
"1250",2002-06-03
"1251",2002-06-04
"1252",2002-06-05
"1253",2002-06-06
"1254",2002-06-07
"1255",2002-06-08
"1256",2002-06-09
"1257",2002-06-10
"1258",2002-06-11
"1259",2002-06-12
"1260",2002-06-13
"1261",2002-06-14
"1262",2002-06-15
"1263",2002-06-16
"1264",2002-06-17
"1265",2002-06-18
"1266",2002-06-19
"1267",2002-06-20
"1268",2002-06-21
"1269",2002-06-22
"1270",2002-06-23
"1271",2002-06-24
"1272",2002-06-25
"1273",2002-06-26
"1274",2002-06-27
"1275",2002-06-28
"1276",2002-06-29
"1277",2002-06-30
"1278",2002-07-01
"1279",2002-07-02
"1280",2002-07-03
"1281",2002-07-04
"1282",2002-07-05
"1283",2002-07-06
"1284",2002-07-07
"1285",2002-07-08
"1286",2002-07-09
"1287",2002-07-10
"1288",2002-07-11
"1289",2002-07-12
"1290",2002-07-13
"1291",2002-07-14
"1292",2002-07-15
"1293",2002-07-16
"1294",2002-07-17
"1295",2002-07-18
"1296",2002-07-19
"1297",2002-07-20
"1298",2002-07-21
"1299",2002-07-22
"1300",2002-07-23
"1301",2002-07-24
"1302",2002-07-25
"1303",2002-07-26
"1304",2002-07-27
"1305",2002-07-28
"1306",2002-07-29
"1307",2002-07-30
"1308",2002-07-31
"1309",2002-08-01
"1310",2002-08-02
"1311",2002-08-03
"1312",2002-08-04
"1313",2002-08-05
"1314",2002-08-06
"1315",2002-08-07
"1316",2002-08-08
"1317",2002-08-09
"1318",2002-08-10
"1319",2002-08-11
"1320",2002-08-12
"1321",2002-08-13
"1322",2002-08-14
"1323",2002-08-15
"1324",2002-08-16
"1325",2002-08-17
"1326",2002-08-18
"1327",2002-08-19
"1328",2002-08-20
"1329",2002-08-21
"1330",2002-08-22
"1331",2002-08-23
"1332",2002-08-24
"1333",2002-08-25
"1334",2002-08-26
"1335",2002-08-27
"1336",2002-08-28
"1337",2002-08-29
"1338",2002-08-30
"1339",2002-08-31
"1340",2002-09-01
"1341",2002-09-02
"1342",2002-09-03
"1343",2002-09-04
"1344",2002-09-05
"1345",2002-09-06
"1346",2002-09-07
"1347",2002-09-08
"1348",2002-09-09
"1349",2002-09-10
"1350",2002-09-11
"1351",2002-09-12
"1352",2002-09-13
"1353",2002-09-14
"1354",2002-09-15
"1355",2002-09-16
"1356",2002-09-17
"1357",2002-09-18
"1358",2002-09-19
"1359",2002-09-20
"1360",2002-09-21
"1361",2002-09-22
"1362",2002-09-23
