Sample Date,Event Type,Water Flow,Sampler,Collection Method,Site ID,Analyte Name,AI_Type (major use),Alt Analyte Name2,Result,RL,tbl Analytical Methods.MDL,Water TOC (ppm)
07-May-2014,Nonstorm,Flowing,Hand,Water grab sample,FOL003,Bifenthrin,Insecticide,,non-detect,0.0010,0.0009,6.83
02-Jun-2014,Nonstorm,Ponded,Hand,Water grab sample,PGC010,Bifenthrin,Insecticide,,0.0060,0.0010,0.0009,11.61
02-Jun-2014,Nonstorm,Ponded,Hand,Water grab sample,PGC022,Bifenthrin,Insecticide,,0.1800,0.0010,0.0009,13.22
04-Jun-2014,Nonstorm,Ponded,Hand,Water grab sample,FOL002,Bifenthrin,Insecticide,,non-detect,0.0010,0.0009,3.13
04-Jun-2014,Nonstorm,Flowing,Hand,Water grab sample,FOL003,Bifenthrin,Insecticide,,0.0109,0.0010,0.0009,7.96
09-Jul-2014,Nonstorm,Flowing,Perstaltic pump,Automatic sampler; single time,FOL002,Bifenthrin,Insecticide,,0.0243,0.0010,0.0009,11.34
09-Jul-2014,Nonstorm,Flowing,Hand,Water grab sample,FOL003,Bifenthrin,Insecticide,,0.0147,0.0010,0.0009,7.96
06-Aug-2014,Nonstorm,Ponded,Hand,Water grab sample,PGC010,Bifenthrin,Insecticide,,0.0183,0.0010,0.0009,33.02
06-Aug-2014,Nonstorm,Flowing,Hand,Water grab sample,PGC022,Bifenthrin,Insecticide,,0.0129,0.0010,0.0009,34.03
31-Oct-2014,Storm,Flowing,Hand,Water grab sample,PGC010,Bifenthrin,Insecticide,,0.0538,0.0010,0.0009,4.30
31-Oct-2014,Storm,Flowing,Hand,Water grab sample,PGC022,Bifenthrin,Insecticide,,0.1580,0.0010,0.0009,7.56
